Dealer,Company,FEIN,DNI,Peripherals,Service Name,Unit ID,Unit,Unit Type,Carrier,Serial #,Phone Number,Sim Number,IMEI,Bill To,Status,Last Event,Carrier,Assigned To Company,Last Event Date
TSO Mobile - Colombia,888 TRUCKS SOCIEDAD POR ACCIONES SIMPLIFICADA,901629518,,"Panic Button, ",PLAN PROFESIONAL,09LY,SSZ304,GenX 5P,Claro CO,000034731311,9103403675,57101501810847753,357520075841318,NELSON JAVIER CASTIBLANCO MANTILLA,Active,Parked,Claro CO,2/7/2023 5:34:39 AM,10/2/2024 4:34:59 PM
TSO Mobile - Colombia,888 TRUCKS SOCIEDAD POR ACCIONES SIMPLIFICADA,901629518,,"Panic Button, ",PLAN PROFESIONAL,09M1,THR659,GenX 5P,Claro CO,000034731314,9103436114,57101501810847723,357520075856167,NELSON JAVIER CASTIBLANCO MANTILLA,Active,Drive,Claro CO,2/7/2023 5:34:57 AM,10/2/2024 4:35:55 PM
TSO Mobile - Colombia,930 COLOMBIAN COFFEE SAS,901077974,,"Panic Button, ",PLAN STANDARD,0WFK,WGQ210,Queclink GV55W,Claro CO,S2-M006820-0WFK,9104044133,57101602312161922,868574041314290,,Active,Parked,Claro CO,5/16/2023 11:42:55 AM,10/2/2024 4:20:33 PM
TSO Mobile - Colombia,ABANOR S.A.S,900501409,,"Panic Button, ",PLAN STANDARD,03WX,RAX277,Queclink GV55W,Claro CO,S2-M007693-03WX,9103596963,57101602308331673,868574042620554,,Active,Parked,Claro CO,2/21/2024 4:13:04 AM,10/2/2024 4:11:37 PM
TSO Mobile - Colombia,ABANOR S.A.S,900501409,,"Panic Button, ",PLAN STANDARD,0XFR,UCK323,Queclink GV55W,Claro CO,S2-M007693-0XFR,9103594519,57101602308331569,868574042743000,,Active,Parked,Claro CO,2/21/2024 3:34:53 AM,10/2/2024 3:48:30 PM
TSO Mobile - Colombia,ABANOR S.A.S,900501409,,"Panic Button, ",PLAN STANDARD,0ZDL, CATERPILLAR 320D2L,Queclink GV55W,Claro CO,MP83705D3016229,9103593235,57101602308331455,868574042743943,,Active,Parked,Claro CO,1/18/2024 2:34:43 PM,10/2/2024 4:20:15 PM
TSO Mobile - Colombia,ABRIL DEMOEXCAVA SAS,900303440,,"Panic Button, ",PLAN MAQUINARIA PESADA,09MP,BOBCAT S570,GenX 656B,Claro CO,000034731325,3234898275,89571016021106060751,357520075831905,,Active,Parked,Claro CO,7/2/2022 7:14:47 AM,3/11/2023 2:45:53 PM
TSO Mobile - Colombia,ACEROS CONSTRUCTORES SAS,900380495,67020846,"Panic Button, ",PLAN PROFESIONAL,0XU9,TKB446,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363188855,9101307624,8957123112215167907,352556102950370,,Active,Ignition ON,MOVISTAR CO,7/26/2023 12:01:20 PM,10/2/2024 4:34:40 PM
TSO Mobile - Colombia,ACEROS CONSTRUCTORES SAS,900380495,67020846,"Panic Button, ",PLAN PROFESIONAL,0XWD,VJE889,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363189325,9101157765,8957123112215167592,352556102748808,,Active,Travel Start,MOVISTAR CO,7/26/2023 12:57:23 PM,10/2/2024 4:35:12 PM
TSO Mobile - Colombia,ACEROS CONSTRUCTORES SAS,900380495,67020846,"Panic Button, ",PLAN PROFESIONAL,0XWF,VBH205,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,4764256221,9103381471,89571016022057264582,357041065247911,,Active,Parked,MOVISTAR CO,7/26/2023 11:57:35 AM,10/2/2024 4:23:27 PM
TSO Mobile - Colombia,ACOMERCIAL AIRES S A S,900622227,,"Panic Button, ",PLAN SEGURIDAD,0O21,KUZ556,GenX 5P,Claro CO,000034703891,9103419904,57101101409879111,357520070951492,,Active,Parked,Claro CO,1/20/2022 3:21:45 AM,10/2/2024 3:56:03 PM
TSO Mobile - Colombia,ACOMERCIAL AIRES S A S,900622227,,"Panic Button, ",PLAN SEGURIDAD,M161,DLP574,GenX 656BV,Claro CO,000036308938,9103444813,57101502501910229,357520076617279,,Active,Travel Stop,Claro CO,6/1/2019 6:44:53 AM,10/2/2024 4:35:26 PM
TSO Mobile - Colombia,ADECUACIONES ARAGON Y CIA SAS,900661054,16741725,"Panic Button, ",PLAN STANDARD,14FZ,EXCAVADORA1568,Queclink GV55W,Claro CO,S2-M007693-14FZ,9104047941,89571016023121621369,868574041982633,,Active,Parked,Claro CO,7/18/2024 6:45:12 AM,7/18/2024 10:49:46 AM
TSO Mobile - Colombia,ADECUACIONES ARAGON Y CIA SAS,900661054,16741725,"Panic Button, ",PLAN STANDARD,14G0,CATERPILLAR 5317,Queclink GV55W,Claro CO,S2-M007693-14G0,9104052900,89571016023121625980,868574042404728,,Active,Idle - Stop,Claro CO,7/17/2024 9:22:55 AM,10/2/2024 4:35:54 PM
TSO Mobile - Colombia,ADRIANA VELASCO TALAGA,66779397,66779397,"Panic Button, ",PLAN STANDARD,0KN3,VZI159,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,1363109703,9101172535,8957123111901536383,359369090552759,,Active,Parked,MOVISTAR CO,9/2/2024 8:22:14 AM,10/2/2024 12:52:02 PM
